,1. open,2. high,3. low,4. close,5. volume
2022-04-06 20:00:00,129.3500,129.3500,129.3500,129.3500,200
2022-04-06 19:55:00,129.3600,129.3600,129.3600,129.3600,270
2022-04-06 19:45:00,129.3600,129.3600,129.3600,129.3600,200
2022-04-06 18:50:00,129.3500,129.3500,129.3500,129.3500,501
2022-04-06 17:40:00,129.6873,129.6900,129.6873,129.6900,250
2022-04-06 17:30:00,129.5000,129.5000,129.5000,129.5000,400
2022-04-06 17:10:00,129.5500,129.5500,129.5500,129.5500,202
2022-04-06 17:05:00,129.1400,129.1400,129.1200,129.1200,400
2022-04-06 16:45:00,129.1300,129.1300,129.1300,129.1300,607
2022-04-06 16:30:00,129.4400,129.5000,129.4400,129.5000,1061
2022-04-06 16:25:00,129.3900,129.3900,129.3900,129.3900,1254
2022-04-06 16:05:00,129.3900,129.3900,129.3900,129.3900,160104
2022-04-06 16:00:00,129.3000,129.5150,129.3000,129.4000,231902
2022-04-06 15:55:00,129.2800,129.4200,129.1902,129.3000,99509
2022-04-06 15:50:00,129.0600,129.2900,129.0400,129.2600,55376
2022-04-06 15:45:00,129.1500,129.2300,129.0300,129.1000,40827
2022-04-06 15:40:00,129.0200,129.1700,128.9800,129.1600,43796
2022-04-06 15:35:00,129.0300,129.1000,128.9500,129.0100,42613
2022-04-06 15:30:00,129.1200,129.1300,128.9700,129.0400,49955
2022-04-06 15:25:00,129.2880,129.2880,129.0786,129.1100,48420
2022-04-06 15:20:00,129.2800,129.3400,129.2100,129.2750,52687
2022-04-06 15:15:00,129.3000,129.3800,129.2800,129.2800,30484
2022-04-06 15:10:00,129.4000,129.4200,129.2300,129.3000,39668
2022-04-06 15:05:00,129.4100,129.4800,129.3580,129.4200,32112
2022-04-06 15:00:00,129.3400,129.4200,129.3400,129.3900,30952
2022-04-06 14:55:00,129.1800,129.3636,129.1800,129.3300,42129
2022-04-06 14:50:00,129.2300,129.3014,129.1300,129.1400,25339
2022-04-06 14:45:00,129.0050,129.2600,128.9950,129.2200,27169
2022-04-06 14:40:00,129.0400,129.0700,128.8700,129.0200,27211
2022-04-06 14:35:00,128.7600,129.0700,128.6900,129.0200,28573
2022-04-06 14:30:00,128.8150,128.8900,128.6694,128.7400,23918
2022-04-06 14:25:00,128.7400,128.8600,128.7100,128.7850,22915
2022-04-06 14:20:00,128.6450,128.7300,128.5800,128.7004,20945
2022-04-06 14:15:00,128.6700,128.7624,128.6400,128.6600,18649
2022-04-06 14:10:00,129.0200,129.0486,128.6600,128.7200,18224
2022-04-06 14:05:00,128.8500,129.2100,128.7100,129.0700,51087
2022-04-06 14:00:00,128.9523,128.9523,128.8411,128.8500,16737
2022-04-06 13:55:00,128.8900,128.9600,128.7700,128.9400,31631
2022-04-06 13:50:00,129.0850,129.1100,128.8600,128.8900,38576
2022-04-06 13:45:00,129.1700,129.1750,129.0550,129.0900,33865
2022-04-06 13:40:00,129.0800,129.2200,129.0200,129.1700,32778
