Rank,Major,Early Career Pay,Mid-Career Pay
1,Petroleum Engineering,93200,187300
2,Operations Research & Industrial Engineering,84800,170400
3,Electrical Engineering & Computer Science (EECS),108500,159300
4,Interaction Design,68300,155800
5,Public Accounting,59800,147700
6,Operations Research,83500,147400
7,Applied Economics and Management,66100,146400
8,Business Computing (BC),73000,143600
9,Actuarial Mathematics,64300,143400
10,Electrical Power Engineering,76100,142600
11,Information & Computer Science,58600,140900
12,Aeronautics & Astronautics,77600,139600
13,Systems Engineering,77700,139200
14,Econometrics,64200,139000
15,Pharmacy,68600,138700
16,Aerospace Studies,55800,136600
17,Building Science,53800,135900
17,Chemical Engineering,76900,135900
19,Cognitive Science,68700,135200
20,Actuarial Science,67700,134400
21,Political Economy,65100,133500
22,Computer Systems Engineering,79000,133200
23,Electrical & Computer Engineering (ECE),78100,131600
24,Computer Science (CS) & Engineering,79400,131300
24,Marine Engineering,79900,131300
26,Aeronautical Engineering,74700,131100
27,Computer Engineering (CE),79000,131000
28,Naval Architecture & Marine Engineering,74400,130700
29,Entrepreneurship & Marketing,51400,129800
30,Corporate Accounting & Finance,65200,129700
31,Mechatronics,72800,129600
32,Nuclear Engineering,76400,129400
33,Electrical Engineering (EE),75600,127700
33,Foreign Affairs,54800,127700
35,Marine Transportation Management,71100,127500
36,Mechanical & Aeronautical Engineering,70900,126900
37,Welding Engineering,81000,126600
38,Instrumentation & Control Engineering,73100,126400
39,Computational & Applied Mathematics,75500,126000
40,Electrical & Electronics Engineering (EEE),74700,125800
41,Aerospace Engineering,74300,125700
42,Astronomy,66600,125400
42,Optical Science & Engineering,71000,125400
42,Quantitative Business Analysis,74000,125400
45,Computer Science (CS) & Mathematics,70500,125100
46,Industrial & Systems Engineering,73100,124800
47,Economics and Mathematics,68200,124100
48,Biomedical Engineering (BME),71300,123600
48,Managerial Economics,65200,123600
50,Computer Science (CS),75100,123400
50,Physics & Astronomy,56500,123400
52,Petroleum Land Management,59300,123100
52,Bioscience,49200,123100
54,Electronics & Communications Engineering,67400,122900
55,Control Engineering,69700,122800
56,Pharmacology,57700,122700
57,Business Analysis,63200,122300
58,Aeronautical Science & Engineering,56000,122200
58,Metallurgical Engineering,81800,122200
60,Engineering Science,67900,122100
61,Applied Mathematics,68300,122000
62,Chemical & Biomolecular Engineering,76800,121900
63,Materials Science,67100,121800
64,Engineering,69900,121700
65,Ocean Engineering (OE),69400,121400
66,Bioengineering (BioE),70900,121300
67,Aeronautical/Aerospace Engineering Technology,76900,121200
68,Integrated Science & Technology,65200,121100
69,Operations Management & Information Systems,66100,120900
70,Software Engineering,75000,120000
71,Physics,65900,119700
72,Quantitative Economics,65000,119600
73,Computer & Information Science,63600,119500
74,Geophysics,58000,119000
75,Accounting & Economics,65900,118900
76,Physician Assistant Studies,95900,118500
77,Mining Engineering,78800,118300
78,Construction Engineering Management,68800,118200
79,Mechanical Engineering (ME),71000,117600
80,Materials Science & Engineering,72700,117500
81,Engineering Mechanics,75500,117400
81,Industrial Engineering (IE),71900,117400
81,International Business & Finance,61400,117400
84,Accounting & Computer Systems,63000,117300
85,Business & Information Technology (IT),60100,116900
86,Applied Physics,67300,116500
87,International Economics,58700,116300
88,Business & Economics,59600,116200
89,Ceramic Engineering,69200,115700
89,Economics,62000,115700
89,Pharmaceutical Sciences (PS),52800,115700
92,Telecommunications Engineering,66400,115400
93,Information & Decision Sciences,65200,115200
93,Materials Engineering,72300,115200
93,Paper Science,77000,115200
96,Asian Studies,47700,115100
96,Structural Engineering (SE),67800,115100
98,Industrial Distribution,63600,115000
99,Management Information Systems (MIS),65000,114100
100,Electronics Engineering,69600,113900
100,Finance & Economics,62600,113900
102,Medical Science,52000,113800
102,Japanese Studies,51500,113800
102,Automotive Engineering,67300,113800
105,Information Management,64300,112800
106,Management Science,64600,112700
106,Mechanical,70200,112700
108,Construction Engineering,67300,112500
109,Finance & Investments,64100,112400
109,Mathematics & Statistics,63100,112400
111,Information Systems Management,59200,112300
112,Construction Project Management,61100,112200
112,Engineering Management,69000,112200
112,Packaging Science,70000,112200
115,Industrial Engineering & Management,68300,112000
116,Engineering Physics,70500,111800
117,Energy Management,72300,111700
118,Aeronautical Science,57700,111600
119,Government,55100,111200
120,Software Applications & Programming,59300,110800
121,Astrophysics,69300,110700
122,Bioenvironmental Science,47700,110500
123,Japanese Language,53300,110300
124,Business Economics,58400,110200
124,Finance & Real Estate,63000,110200
126,Manufacturing Engineering,69300,110000
127,Atmospheric Science,48700,109900
128,Cybersecurity,65600,109800
129,Information Security & Assurance,61400,109300
130,Medicine,60600,109200
131,Civil Engineering (CE),65000,109000
132,Environmental Health & Safety Management,61100,108800
133,Mathematics,63500,108700
134,Applied Economics,61400,108600
135,Construction Science,67400,108500
135,Political Communication,48800,108500
137,Marketing & International Business,52500,108400
137,Software Development,65500,108400
139,Biochemistry & Molecular Biology,53900,108100
140,Computing,63500,108000
140,Construction Management,63200,108000
142,Accounting & Taxation,55600,107800
142,Building Construction (BC),67200,107800
142,International & Comparative Politics,45700,107800
145,Civil & Environmental Engineering,65300,107500
146,Business Information Systems,65000,107400
147,Financial Economics,63300,107200
147,Sales & Business Marketing,55900,107200
149,Plastics Engineering,68400,107100
150,Information Technology Management,63400,107000
151,Polymer Science & Engineering,74500,106900
152,Informatics,70300,106800
153,Computer Management Information Systems (CMIS),55700,106600
153,Information Systems (IS),63900,106600
155,Agricultural Economics,55600,106300
156,Data Processing,65600,106200
157,European Studies,47500,106100
158,Biosystems Engineering,64700,106000
158,Nuclear Engineering Technology (NET),83500,106000
160,Economics & Political Science,57100,105700
160,Global & International Studies,50000,105700
162,Organic Chemistry,44500,105600
163,Industrial Hygiene,58600,105500
163,Safety Science,62400,105500
165,Commerce,66800,105400
165,Rhetoric,51600,105400
167,Business Computer Information Systems (BCIS),64000,105300
168,Finance,60200,105200
169,Plastics Engineering Technology,66900,105100
170,Molecular Biology,54100,105000
171,Environmental Engineering,62600,104800
171,International Management,54100,104800
173,Computer Information Systems,59400,104700
174,Corporate Finance,63600,104300
175,Genetics,52200,104100
175,International Business,55300,104100
177,Agricultural Engineering (AE),63100,104000
178,Consumer Economics,53700,103800
179,Finance & Marketing,56800,103700
180,Computer Information Systems (CIS),60500,103500
181,Business Finance,57200,103300
182,Psychobiology,49600,103100
182,Strategic Management,66200,103100
182,Construction Trades,61900,103100
185,Operations Management (OM),61500,103000
186,Entrepreneurship & Leadership,57100,102900
187,Electrical Engineering Technology (EET),66300,102800
188,Computer Science & Information Technology,66000,102700
188,Food Marketing,56300,102700
190,International Marketing,59000,102600
190,Network Engineering,60700,102600
192,Building Construction Management,61300,102400
193,Engineering Technology (ET),58400,102300
194,International Relations,52800,102200
194,Management & Finance,56800,102200
194,Information Security,66400,102200
197,Business Operations,63500,102100
198,Industrial Management,57800,102000
199,Architectural Engineering,65000,101900
199,Hotel Administration,64900,101900
201,Manufacturing,57600,101500
202,Agricultural Economics & Business,54900,101400
203,Web Development,56400,101300
204,Aviation,54000,101200
204,Telecommunications Management,55000,101200
206,Property Management,55200,101000
207,Comparative Literature,48100,100900
208,Construction Science & Management,64700,100800
209,Biotechnology,53100,100700
210,Industrial & Labor Relations,69800,100600
210,Real Estate,59900,100600
212,Mechanical Engineering Technology (MET),64200,100400
213,Labor Relations,53000,100300
214,Electronics,57500,100200
215,Biochemistry (BCH),50400,99900
215,Politics,53000,99900
217,Accounting & Auditing,57800,99800
218,Chinese Language,54200,99600
219,Information Science (IS),66300,99500
220,East Asian Studies,49800,99400
221,Accounting & Finance,59200,99300
221,Network Security,62300,99300
223,Information Technology (IT),59100,99200
224,Aviation Management,50900,99100
224,Occupational Health and Safety,59900,99100
226,Agribusiness,50700,98900
226,Business & Marketing,51000,98900
226,Computer Engineering Technology (CET),63000,98900
229,Computer Security,68100,98700
230,Operations & Supply Chain Management,61300,98600
231,Entomology,45900,98500
232,Music Production & Engineering,43100,98400
232,Industrial Engineering Technology,67200,98400
234,Logistics & Supply Chain Management,59000,98300
234,Supply Chain Management,61700,98300
234,Accounts,59800,98300
237,Economics & Management,54400,98200
237,Environmental Policy Analysis & Planning,51000,98200
237,Physical Therapy,55500,98200
240,European History,52300,98000
240,Robotics & Automation,66100,98000
242,Geological Engineering,61700,97900
242,Manufacturing Technology,59900,97900
244,Chemistry,51600,97500
245,Business Logistics & Transportation,56400,97400
246,Food Science & Technology,53100,97300
247,City & Regional Planning,51800,97200
247,Civil Engineering Technology (CET),58300,97200
249,Electronics Engineering Technology (EET),64300,97100
249,English & Psychology,42600,97100
249,Finance & Banking,55300,97100
249,Mechanical Design,60900,97100
253,Applied Technology,55500,97000
254,Marketing & Management,50000,96900
255,Technical & Scientific Communication,50700,96800
256,Financial Planning,54000,96600
256,Organizational Behavior,57000,96600
256,Marketing,51700,96600
259,Dairy Science,51200,96200
